default_alias,official_name,model_size_info,model_type,cfg_model_name,n_params_str,n_params,n_layers,n_heads,d_model,d_vocab,act_fn,positional_embedding_type,parallel_attn_mlp,original_architecture
stanford-gpt2-medium-d,stanford-crfm/durin-gpt2-medium-x343,,gpt2,durin-gpt2-medium-x343,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-medium-e,stanford-crfm/eowyn-gpt2-medium-x777,,gpt2,eowyn-gpt2-medium-x777,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
pythia-14m,EleutherAI/pythia-14m,14m,pythia,pythia-14m,1.2M,1179648,6,4,128,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-31m,EleutherAI/pythia-31m,31m,pythia,pythia-31m,4.7M,4718592,6,8,256,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-70m,EleutherAI/pythia-70m,70m,pythia,pythia-70m,19M,18874368,6,8,512,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m,EleutherAI/pythia-160m,160m,pythia,pythia-160m,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-410m,EleutherAI/pythia-410m,410m,pythia,pythia-410m,302M,301989888,24,16,1024,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1b,EleutherAI/pythia-1b,1b,pythia,pythia-1b,805M,805306368,16,8,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1.4b,EleutherAI/pythia-1.4b,1.4b,pythia,pythia-1.4b,1.2B,1207959552,24,16,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-2.8b,EleutherAI/pythia-2.8b,2.8b,pythia,pythia-2.8b,2.5B,2516582400,32,32,2560,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-6.9b,EleutherAI/pythia-6.9b,6.9b,pythia,pythia-6.9b,6.4B,6442450944,32,32,4096,50432,gelu,rotary,True,GPTNeoXForCausalLM
pythia-12b,EleutherAI/pythia-12b,12b,pythia,pythia-12b,11B,11324620800,36,40,5120,50688,gelu,rotary,True,GPTNeoXForCausalLM
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,70m,pythia,pythia-70m-deduped,19M,18874368,6,8,512,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-deduped,EleutherAI/pythia-160m-deduped,160m,pythia,pythia-160m-deduped,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-410m-deduped,EleutherAI/pythia-410m-deduped,410m,pythia,pythia-410m-deduped,302M,301989888,24,16,1024,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1b-deduped,EleutherAI/pythia-1b-deduped,1b,pythia,pythia-1b-deduped,805M,805306368,16,8,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,1.4b,pythia,pythia-1.4b-deduped,1.2B,1207959552,24,16,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,2.8b,pythia,pythia-2.8b-deduped,2.5B,2516582400,32,32,2560,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,6.9b,pythia,pythia-6.9b-deduped,6.4B,6442450944,32,32,4096,50432,gelu,rotary,True,GPTNeoXForCausalLM
pythia-12b-deduped,EleutherAI/pythia-12b-deduped,12b,pythia,pythia-12b-deduped,11B,11324620800,36,40,5120,50688,gelu,rotary,True,GPTNeoXForCausalLM
pythia-70m-v0,EleutherAI/pythia-70m-v0,70m,pythia,pythia-70m-v0,19M,18874368,6,8,512,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-v0,EleutherAI/pythia-160m-v0,160m,pythia,pythia-160m-v0,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-410m-v0,EleutherAI/pythia-410m-v0,410m,pythia,pythia-410m-v0,302M,301989888,24,16,1024,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1b-v0,EleutherAI/pythia-1b-v0,1b,pythia,pythia-1b-v0,805M,805306368,16,8,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1.4b-v0,EleutherAI/pythia-1.4b-v0,1.4b,pythia,pythia-1.4b-v0,1.2B,1207959552,24,16,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-2.8b-v0,EleutherAI/pythia-2.8b-v0,2.8b,pythia,pythia-2.8b-v0,2.5B,2516582400,32,32,2560,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-6.9b-v0,EleutherAI/pythia-6.9b-v0,6.9b,pythia,pythia-6.9b-v0,6.4B,6442450944,32,32,4096,50432,gelu,rotary,True,GPTNeoXForCausalLM
pythia-12b-v0,EleutherAI/pythia-12b-v0,12b,pythia,pythia-12b-v0,11B,11324620800,36,40,5120,50688,gelu,rotary,True,GPTNeoXForCausalLM
pythia-70m-deduped-v0,EleutherAI/pythia-70m-deduped-v0,70m,pythia,pythia-70m-deduped-v0,19M,18874368,6,8,512,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-deduped-v0,EleutherAI/pythia-160m-deduped-v0,160m,pythia,pythia-160m-deduped-v0,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-410m-deduped-v0,EleutherAI/pythia-410m-deduped-v0,410m,pythia,pythia-410m-deduped-v0,302M,301989888,24,16,1024,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1b-deduped-v0,EleutherAI/pythia-1b-deduped-v0,1b,pythia,pythia-1b-deduped-v0,805M,805306368,16,8,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-1.4b-deduped-v0,EleutherAI/pythia-1.4b-deduped-v0,1.4b,pythia,pythia-1.4b-deduped-v0,1.2B,1207959552,24,16,2048,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-2.8b-deduped-v0,EleutherAI/pythia-2.8b-deduped-v0,2.8b,pythia,pythia-2.8b-deduped-v0,2.5B,2516582400,32,32,2560,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-6.9b-deduped-v0,EleutherAI/pythia-6.9b-deduped-v0,6.9b,pythia,pythia-6.9b-deduped-v0,6.4B,6442450944,32,32,4096,50432,gelu,rotary,True,GPTNeoXForCausalLM
pythia-12b-deduped-v0,EleutherAI/pythia-12b-deduped-v0,12b,pythia,pythia-12b-deduped-v0,11B,11324620800,36,40,5120,50688,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-seed1,EleutherAI/pythia-160m-seed1,160m,pythia,pythia-160m-seed1,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-seed2,EleutherAI/pythia-160m-seed2,160m,pythia,pythia-160m-seed2,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
pythia-160m-seed3,EleutherAI/pythia-160m-seed3,160m,pythia,pythia-160m-seed3,85M,84934656,12,12,768,50304,gelu,rotary,True,GPTNeoXForCausalLM
solu-1l-pile,NeelNanda/SoLU_1L_v9_old,,solu,SoLU_1L_v9_old,13M,12582912,1,16,1024,50278,solu_ln,standard,False,neel-solu-old
solu-2l-pile,NeelNanda/SoLU_2L_v10_old,,solu,SoLU_2L_v10_old,13M,12812288,2,11,736,50278,solu_ln,standard,False,neel-solu-old
solu-4l-pile,NeelNanda/SoLU_4L_v11_old,,solu,SoLU_4L_v11_old,13M,12582912,4,8,512,50278,solu_ln,standard,False,neel-solu-old
solu-6l-pile,NeelNanda/SoLU_6L_v13_old,,solu,SoLU_6L_v13_old,42M,42467328,6,12,768,50278,solu_ln,standard,False,neel-solu-old
solu-8l-pile,NeelNanda/SoLU_8L_v21_old,,solu,SoLU_8L_v21_old,101M,100663296,8,16,1024,50278,solu_ln,standard,False,neel-solu-old
solu-10l-pile,NeelNanda/SoLU_10L_v22_old,,solu,SoLU_10L_v22_old,197M,196608000,10,20,1280,50278,solu_ln,standard,False,neel-solu-old
solu-12l-pile,NeelNanda/SoLU_12L_v23_old,,solu,SoLU_12L_v23_old,340M,339738624,12,24,1536,50278,solu_ln,standard,False,neel-solu-old
solu-1l,NeelNanda/SoLU_1L512W_C4_Code,,solu,SoLU_1L512W_C4_Code,3.1M,3145728,1,8,512,48262,solu_ln,standard,False,neel
solu-2l,NeelNanda/SoLU_2L512W_C4_Code,,solu,SoLU_2L512W_C4_Code,6.3M,6291456,2,8,512,48262,solu_ln,standard,False,neel
solu-3l,NeelNanda/SoLU_3L512W_C4_Code,,solu,SoLU_3L512W_C4_Code,9.4M,9437184,3,8,512,48262,solu_ln,standard,False,neel
solu-4l,NeelNanda/SoLU_4L512W_C4_Code,,solu,SoLU_4L512W_C4_Code,13M,12582912,4,8,512,48262,solu_ln,standard,False,neel
solu-6l,NeelNanda/SoLU_6L768W_C4_Code,,solu,SoLU_6L768W_C4_Code,42M,42467328,6,12,768,48262,solu_ln,standard,False,neel
solu-8l,NeelNanda/SoLU_8L1024W_C4_Code,,solu,SoLU_8L1024W_C4_Code,101M,100663296,8,16,1024,48262,solu_ln,standard,False,neel
solu-10l,NeelNanda/SoLU_10L1280W_C4_Code,,solu,SoLU_10L1280W_C4_Code,197M,196608000,10,20,1280,48262,solu_ln,standard,False,neel
solu-12l,NeelNanda/SoLU_12L1536W_C4_Code,,solu,SoLU_12L1536W_C4_Code,340M,339738624,12,24,1536,48262,solu_ln,standard,False,neel
gelu-1l,NeelNanda/GELU_1L512W_C4_Code,,gelu,GELU_1L512W_C4_Code,3.1M,3145728,1,8,512,48262,gelu,standard,False,neel
